cg_poly

5 atom types
3 bond types

1594 atoms
9 bonds

0.000000 69.873901 xlo xhi
0.000000 69.873901 ylo yhi
0.000000 69.873901 zlo zhi

Masses

1 86.000000 # SOL
2 29.000000 # B4
3 104.000000 # B3
4 105.000000 # B1
5 28.000000 # B2

Atoms

1 1 4  34.576096 37.453621 47.241333
2 1 5  33.781788 35.477497 43.847858
3 1 3  34.820671 34.175674 39.507404
4 1 5  36.916073 33.369999 42.442142
5 1 3  37.402115 32.170864 46.079521
6 2 5  39.723572 29.930714 45.165714
7 2 3  39.306728 25.248365 44.580288
8 2 5  36.931427 27.370001 46.814999
9 2 3  33.866924 27.115768 47.798943
10 2 2  34.198277 23.650000 48.013447
11 3 1  37.102444 10.848023 52.464767
12 3 1  23.048140 44.269768 59.275230
13 3 1  34.529766 27.444883 36.943256
14 3 1  5.852558 68.171745 61.152443
15 3 1  17.416512 1.739534 67.240120
16 4 1  69.108551 60.916630 69.537041
17 4 1  40.789768 12.627558 56.274883
18 4 1  3.974186 41.260582 41.541397
19 4 1  69.661858 2.870581 27.710115
20 4 1  41.086861 19.714767 36.397560
21 5 1  62.552792 14.280814 24.986162
22 5 1  26.876511 31.923838 16.674883
23 5 1  67.711746 22.710350 54.619305
24 5 1  14.114186 18.442442 37.675583
25 5 1  4.167442 28.506395 2.883953
26 6 1  8.279419 4.125465 2.473953
27 6 1  12.959535 54.519421 25.814768
28 6 1  13.495465 9.306279 29.971512
29 6 1  21.097559 66.021515 45.350231
30 6 1  37.522324 55.720581 46.044186
31 7 1  59.278603 50.916397 56.605579
32 7 1  52.491394 41.870464 18.802675
33 7 1  44.032444 16.648838 30.824652
34 7 1  47.646278 2.179302 19.073721
35 7 1  17.750582 1.568488 2.515698
36 8 1  37.008839 10.402675 13.941977
37 8 1  51.942444 35.461048 44.577908
38 8 1  51.099419 39.085464 47.455814
39 8 1  61.985813 36.036976 53.283257
40 8 1  9.442093 60.104301 44.281281
41 9 1  31.995699 50.823372 51.653954
42 9 1  42.847675 41.366047 4.842442
43 9 1  57.201279 36.554768 45.304535
44 9 1  28.553837 49.497440 20.333488
45 9 1  64.336281 19.636627 56.624069
46 10 1  22.934303 7.018721 10.790582
47 10 1  15.778023 65.050934 46.710117
48 10 1  62.468258 59.936512 65.789650
49 10 1  27.981047 0.936861 46.549419
50 10 1  18.506861 48.899300 52.799187
51 11 1  49.867325 25.499535 46.067326
