cg_poly

5 atom types
3 bond types

406 atoms
9 bonds

0.000000 69.873901 xlo xhi
0.000000 69.873901 ylo yhi
0.000000 69.873901 zlo zhi

Masses

1 344.000000 # SOL
2 29.000000 # B4
3 104.000000 # B3
4 105.000000 # B1
5 28.000000 # B2

Atoms

1 1 4  34.576096 37.453621 47.241333
2 1 5  33.781788 35.477497 43.847858
3 1 3  34.820671 34.175674 39.507404
4 1 5  36.916073 33.369999 42.442142
5 1 3  37.402115 32.170864 46.079521
6 2 5  39.723572 29.930714 45.165714
7 2 3  39.306728 25.248365 44.580288
8 2 5  36.931427 27.370001 46.814999
9 2 3  33.866924 27.115768 47.798943
10 2 2  34.198277 23.650000 48.013447
11 3 1  25.133226 20.012007 52.458923
12 3 1  15.353778 0.089657 58.648357
13 3 1  67.512978 17.197500 26.442181
14 3 1  6.099723 18.446163 59.350147
15 3 1  21.268721 63.860424 36.795174
16 4 1  50.862179 48.825294 66.263611
17 4 1  39.450321 15.738886 62.059799
18 4 1  56.880001 47.082676 55.983707
19 4 1  48.740715 28.176889 50.731644
20 4 1  13.715072 61.174377 52.962093
21 5 1  45.139404 26.105595 47.699757
22 5 1  6.864441 10.683763 22.207558
23 5 1  54.618607 31.127470 48.534275
24 5 1  63.832928 41.942253 61.421833
25 5 1  55.171368 45.119854 17.703751
26 6 1  14.702180 2.040855 4.826915
27 6 1  1.511972 63.996586 29.685843
28 6 1  26.171366 34.933548 32.680923
29 6 1  36.290668 38.412472 50.765469
30 6 1  7.610856 45.859592 62.989086
31 7 1  26.942238 60.991249 24.614389
32 7 1  60.150963 20.213459 11.539851
33 7 1  58.028854 25.522326 12.552325
34 7 1  59.764465 31.749912 66.012619
35 7 1  56.682472 38.013313 40.200756
36 8 1  25.700291 42.869873 35.192356
37 8 1  38.787617 36.216801 45.626312
38 8 1  63.368824 17.812820 34.309853
39 8 1  11.209124 27.051163 56.992588
40 8 1  3.254228 3.559664 35.994068
41 9 1  21.432617 48.554798 50.090889
42 9 1  2.345711 60.432930 48.213737
43 9 1  55.008068 31.645884 25.589012
44 9 1  25.568014 29.443850 3.198166
45 9 1  37.549011 14.913982 38.516338
46 10 1  31.190203 37.980057 67.076912
47 10 1  56.813946 54.497471 59.490871
48 10 1  1.161945 18.613094 14.042180
49 10 1  50.280018 2.269054 56.861584
50 10 1  53.485626 14.746728 49.075500
51 11 1  65.644234 34.458138 62.772629
